"ACCIDENT_NO","ACCIDENTDATE","ACCIDENTTIME","Accident Type Desc","Day Week Description","Light Condition Desc","NO_OF_VEHICLES","NO_PERSONS","Road Geometry Desc","SEVERITY","SPEED_ZONE","VEHICLE_ID","VEHICLE_YEAR_MANUF","VEHICLE_BODY_STYLE","VEHICLE_MAKE","Vehicle Type Desc","SEX","AGE","Age Group","Road User Type Desc"
"T20190003487","22/2/19",19:05:00,"Collision with vehicle","Friday","Day",2,4,"Cross intersection",3,50,"B",2010,"WAGON","MAZDA","Station Wagon","F",37,"30-39","Drivers"
"T20190003492","22/2/19",21:30:00,"Collision with vehicle","Friday","Dark Street lights off",2,2,"Cross intersection",2,80,"A",2016,"SEDAN","HONDA","Car","F",75,"70+","Drivers"
"T20190003492","22/2/19",21:30:00,"Collision with vehicle","Friday","Dark Street lights off",2,2,"Cross intersection",2,80,"B",2017,"SEDAN","MERC B","Taxi","M",24,"22-25","Drivers"
"T20190003494","22/2/19",23:00:00,"Collision with vehicle","Friday","Dark Street lights on",2,4,"Cross intersection",3,40,"A",2018,"S WAG","HOLDEN","Station Wagon","M",43,"40-49","Drivers"
"T20190003500","22/2/19",23:30:00,"Collision with vehicle","Friday","Dark Street lights on",2,2,"T intersection",2,60,"A",2012,"SEDAN","HOLDEN","Car","M",50,"50-59","Drivers"
"T20190003502","23/2/19",06:00:00,"Collision with a fixed object","Saturday","Dark Street lights on",1,1,"Not at intersection",3,80,"A",2014,"P VAN","RENAUL","Panel Van","M",20,"17-21","Drivers"
"T20190003503","23/2/19",08:00:00,"Collision with vehicle","Saturday","Day",2,2,"Not at intersection",3,50,"A",2005,"S WAG","FORD","Station Wagon","M",67,"64-69","Drivers"
"T20190003504","23/2/19",07:50:00,"Collision with vehicle","Saturday","Day",2,2,"Not at intersection",3,60,"A",2002,"WAGON","TOYOTA","Station Wagon","M",48,"40-49","Drivers"
"T20190003504","23/2/19",07:50:00,"Collision with vehicle","Saturday","Day",2,2,"Not at intersection",3,60,"B",1999,"S WAG","HOLDEN","Station Wagon","M",25,"22-25","Drivers"
"T20190003506","19/2/19",12:30:00,"Collision with vehicle","Tuesday","Day",3,3,"Cross intersection",2,80,"A",2007,"SEDAN","B M W","Car","U",NA,"unknown","Drivers"
"T20190003506","19/2/19",12:30:00,"Collision with vehicle","Tuesday","Day",3,3,"Cross intersection",2,80,"B",2001,"WAGON","HONDA","Station Wagon","M",82,"70+","Drivers"
